title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello MADERA,$ 225.000.000,"69,00 m²",3,2,1,"63,00m²","69,00m²",3,Menosde1año,3.260.870/m²,nan
Apartamento en Venta Bello EL TRAPICHE,$ 125.000.000,"62,00 m²",3,2,nan,"62,00m²","62,00m²",3,1a8años,2.016.129/m²,"$120,000"
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello Navarra Plaza Navarra,$ 173.000.000,"64,90 m²",3,2,1,"65,00m²","64,90m²",3,1a8años,2.665.639/m²,"$125,000"
Apartamento en Venta Bello La Cabañita,$ 240.000.000,"97,00 m²",3,2,1,nan,"97,00m²",4,9a15años,2.474.227/m²,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Apartamento en Venta Bello NIQUIA,$ 205.000.000,"65,00 m²",3,2,nan,"65,00m²","65,00m²",4,1a8años,3.153.846/m²,"$143,000"
Apartamento en Venta Bello La madera Bello,$ 172.000.000,"58,00 m²",2,2,nan,"58,00m²","58,00m²",3,1a8años,2.965.517/m²,"$116,950"
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Florida Norteamerica,Desde $ 186.460.000 Hasta $ 260.000.000,"56,92 a 89,63 m²",3,2,nan,nan,"56,92a89,63m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
MONTANA,Desde $ 562.600.000 Hasta $ 602.600.000,"126,14 m²",3,4,2,nan,"126,14m²",4,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
POBLADO NIQUÍA,Desde $ 229.850.000 Hasta $ 257.276.000,"70,76 a 78,69 m²",3,2,1,"62,85a69,91m²","70,76a78,69m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Apartamento en Venta Bello CABAÑITAS,$ 145.000.000,"63,00 m²",3,1,1,nan,"63,00m²",3,1a8años,2.301.587/m²,nan
Apartamento en Venta Bello ESPECTACULAR APARTAMENTO GANGAZO EXCELENTE PUNTO,$ 190.000.000,"82,00 m²",3,2,nan,nan,"82,00m²",4,1a8años,2.317.073/m²,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Apartamento en Venta Bello TERCER PISO REMODELADO EN NIQUIA CAMACOL,$ 109.000.000,"67,00 m²",3,1,nan,nan,"67,00m²",2,1a8años,1.626.866/m²,nan
Apartamento en Venta Bello NAVARRA,$ 227.000.000,"68,00 m²",3,2,1,nan,"68,00m²",4,nan,3.338.235/m²,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Apartamento en Venta Bello GANGA CEIBAS DEL NORTE CON PARQUEADERO PRIVADO,$ 170.000.000,"55,00 m²",2,2,nan,nan,"55,00m²",4,1a8años,3.090.909/m²,nan
Apartamento en Venta Bello NORTEAMÉRICA CON PARQUEADERO Y UTIL,$ 200.000.000,"61,00 m²",3,2,nan,nan,"61,00m²",4,1a8años,3.278.689/m²,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Apartamento en Venta Bello los ciruelos,$ 220.000.000,"68,00 m²",3,2,1,"68,00m²","68,00m²",4,nan,3.235.294/m²,nan
