Price,Brand,Model,Version,Year,Milleage,Doors,Fuel,Shield,Color,Transmision,Direction,Traction,Only owner,Motor,Cylinders
36.900.000,Renault,Sandero,"Automatico, AT 1.6",2018,35.567 km,5,Gasolina,EFW542,GrisComet,Automática,Hidráulica,4x2,nan,nan,nan
25.800.000,Renault,Sandero,EXPRESSION 1600cc,2015,65.000 km,5,Gasolina,UDZ366,GRISCOMET,Mecánica,Asistida,4x2,Sí,nan,nan
20.500.000,Renault,Sandero,MT 4X2 GSL,2009,126.886 km,4,Gasolina,FHJ448,Gris,Mecánica,Hidráulica,4x2,nan,nan,nan
37.900.000,Renault,Sandero,"Exclusive, AT 1.6",2018,16.544 km,5,Gasolina,EGK324,GrisEstrella,Automática,Hidráulica,4x2,nan,nan,nan
35.900.000,Renault,Sandero,DYNAMIQUE AT 1600CC 16V,2017,29.162 km,nan,Gasolina,INQ614,Gris,Automática,Hidráulica,nan,nan,1.6,nan
34.500.000,Renault,Sandero,Privilege,2017,40.000 km,5,Gasolina,IUW959,Plata,Automática,Hidráulica,4x2,nan,nan,nan
18.500.000,Renault,Sandero,DYNAMIQUE MT 1600,2010,119.200 km,5,Gasolina,KBR010,GRISECLIPSE,Mecánica,Hidráulica,nan,nan,nan,nan
31.000.000,Renault,Sandero,LIFE MT 1600,2018,15.430 km,5,Gasolina,JHV379,NEGRONACARADO,Manual,Hidráulica,nan,nan,nan,nan
29.800.000,Renault,Sandero,Dinamique 1600 CC,2016,40.500 km,5,Gasolina,IHU216,Gris,Mecánica,Hidráulica,4x2,nan,nan,nan
31.500.000,Renault,Sandero,nan,2018,3.900 km,nan,Gasolina,DSZ377,Gris,Manual,Hidráulica,nan,Sí,1600,nan
25.500.000,Renault,Sandero,Sandero dinamique AT 1600,2015,59.000 km,5,Gasolina,ZZU938,Plateado,Automática,Hidráulica,nan,nan,nan,nan
28.900.000,Renault,Sandero,AUTHENTIC,2018,44.150 km,4,Gasolina,JKL910,GRISESTRELLA,Mecánica,Hidráulica,4x2,nan,nan,nan
23.800.000,Renault,Sandero,GT LINE MT 1600 16V,2013,95.000 km,5,Gasolina,MST354,Beige,Mecánica,Hidráulica,nan,nan,nan,nan
30.500.000,Renault,Sandero,Expression,2018,22.718 km,5,Gasolina,DNP094,Gris,Manual,Hidráulica,4x2,nan,nan,nan
